SP,Sentence1,Sentence2,Human_ratings_similarity,S
66,Would you like to go out to drink with me tonight?,I really don't know what to eat tonight so I might go out somewhere.,1.01,0.77
67,I advise you to treat this matter very seriously as it is vital.,"You must take this most seriously, it will affect you.",3.38,0.69
68,When I was going out to meet my friends there was a delay at the train station.,The train operator announced to the passengers that the train would be delayed.,3.13,0.68
69,"Does music help you to relax, or does it distract you too much?",Does this sponge look wet or dry to you?,0.1,0.29
70,You must realise that you will definitely be punished if you play with the alarm.,He will be harshly punished for setting the fire alarm off.,2.84,0.87
71,I will make you laugh so much that your sides ache.,When I tell you this you will split your sides laughing.,3.75,0.38
73,Do you want to come with us to the pub behind the hill?,We are going out for drinks tonight in Salford Quays if you would like to come.,1.82,1.09
75,The ghost appeared from nowhere and frightened the old man.,"The ghost of Queen Victoria appears to me every night, I don't know why, I don't even like the royals.",1.45,0.75
76,You're not a good friend if you're not prepared to be present when I need you.,A good friend always seems to be present when you need them.,3.14,0.94
77,The children crossed the road very safely thanks to the help of the lollipop lady.,It was feared that the child might not recover because he was seriously ill.,0.13,0.29
78,I have invited a variety of people to my party so it should be interesting.,"A number of invitations were given out to a variety of people inviting them down the pub.",2.18,0.88
79,"I offer my condolences to the parents of John Smith, who was unfortunately murdered.","I express my sympathy to John Smith’s parents following his murder.",3.91,0.23
80,Boats come in all shapes and sizes but they all do the same thing.,Chairs can be comfy and not comfy depending on the chair.,0.5,0.69
81,If you continuously use these products I guarantee you will look very young.,"I assure you that by using these products consistently over a long period of time you will appear really young.",3.58,0.57
82,We ran farther than the other children that day.,You ran farther than anyone today.,2.43,1.06
83,I always like to have a slice of lemon in my drink especially if it's Coke.,I like to put a wedge of lemon in my drinks especially cola.,3.81,0.55
84,"It seems like I've got eczema on my ear doctor, can you recommend something for me?",I had to go to a chemist for a special rash cream for my ear.,2.05,0.9
85,I am proud of our nation well most of it.,I think of myself as being part of a nation.,1.71,1.03
86,There was a heap of rubble left by the builders outside my house this morning.,"Sometimes in a large crowd accidents may happen which can cause deadly injuries.",0.09,0.27
87,Water freezes at a certain temperature which is zero degrees Celsius.,The temperature of boiling water is 100 C and the temperature of ice is 0 C.,3.08,0.98
88,We got home safely in the end although it was a long journey.,Though it took many hours travel we finally reached our house safely.,3.06,0.95
89,A man called Dave gave his fiancée a large diamond ring for their engagement.,The man presented a diamond to the woman and asked her to marry him.,3.22,0.73
90,I used to run quite a lot in fact once I ran for North Tyneside.,"I used to climb lots at school as we had a new climbing wall put in the gym.",0.74,0.75
91,I love to laugh as it makes me happy as well as those around me.,I thought we bargained that it would only cost me a pound.,0.08,0.32
92,Because I am the eldest one I should be more responsible.,"Just because of my age people shouldn't think I'm a responsible adult but they do?",2.23,0.79
93,I need to dash into the kitchen because I think my chip pan is on fire.,In the event of a chip pan fire follow the instructions on the safety note.,1.7,1.03
94,"Peter was a very large youth whose size intimidated most people much to his delight.","Now I wouldn't say he was fat but I'd certainly say he was one of the larger boys.",1.96,0.95
95,I'm going to buy a grey jumper today in half an hour.,That's a nice grey top where did you get it from?,1.25,0.98
96,We got soaked in the rain today but now we are nice and dry.,"I was absolutely soaking wet last night I drove my bike through the worst weather.",1.68,0.75
97,Global warming is what everyone is worrying about today.,"The problem of global warming is a concern to every country in the world at the moment.",3.14,0.84
98,He was harshly punished for setting the fire alarms off.,He delayed his response in order to create a tense atmosphere.,0.22,0.6
